,href,title,about
0,https://www.work.ua/jobs/4666588/,"Business Analyst, вакансія від 6 листопада 2024","
            Повна зайнятість. Досвід роботи від 1 року.
                            Давайте знайомитись! Ми успішно розвиваємось з 2002 року. Драйв — наш стиль життя, який народжує натхнення. Ми вдосконалюємось та вдосконалюємо. Втілення інновацій робить нас лідерами. Запрошуємо до співпраці Business…"
1,https://www.work.ua/jobs/5900489/,"Middle Web Analyst, вакансія від 6 листопада 2024","
            Повна зайнятість. Досвід роботи від 2 років.
                            Найпопулярнішому інтернет-магазину Rozetka.ua потрібен «WEB Analyst» рівня Middle. ROZETKA — найбільший онлайн-ритейлер та один із найтехнологічніших e-commerce-проектів в Україні. Наша місія — бути універсальним…"
2,https://www.work.ua/jobs/5621009/,"Аналітик маркетингових досліджень, вакансія від 5 листопада 2024","
            Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Привіт, якщо ти зараз читаєш цю вакансію це означає що ти вже на пів шляху до роботи твоєї мрії #клаааасссс.Ми не зупиняємось, а лише набираємо обороти тому давай бути #намберван та скоріш знайомся з нашою вакансією…"
3,https://www.work.ua/jobs/5828894/,"Partner Operations Analyst, вакансія від 5 листопада 2024","
            Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Your work-life opportunity:Join us as a Partner Operations Analyst and become a key member of Glovo’s local operations team! We offer a challenging and dynamic environment with many opportunities for learning and…"
4,https://www.work.ua/jobs/3951059/,"Аналітик публічних закупівель, вакансія від 4 листопада 2024","
            Повна зайнятість. Також готові взяти студента. Незакінчена вища освіта.
                            ГРОМАДСЬКИЙ КОНТРОЛЬ — найефективніша та найвідоміша громадська організація м. Дніпро, яка бореться з корупцією, запроваджує реформи та розвиває громадянську свідомість мешканців міста Дніпро та України.Громадська…"
5,https://www.work.ua/jobs/5780478/,"Аналітик, вакансія від 4 листопада 2024","
            Повна зайнятість. Також готові взяти студента.
                            Найбільша в Україні національна роздрібна мережа у зв’язку з розвитком та розширенням, запрошує на роботу аналітика. Основні обов’язки:   Розрахунок потреби складів та мережі на товари групи ультрафреш.   Аналіз…"
6,https://www.work.ua/jobs/5753754/,"Partner Performance Analyst, вакансія від 4 листопада 2024","
            Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Your work-life opportunity:Join us as a Partner Operations Analyst and become a key member of Glovo’s local operations team! We offer a challenging and dynamic environment with many opportunities for learning and…"
7,https://www.work.ua/jobs/5318885/,"Бізнес-аналітик (платіжні системи), вакансія від 2 листопада 2024","
            Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Товариство Червоного Хреста України (ТЧХУ) оголошує конкурс на посаду Бізнес — аналітика.  Опис:  У рамках Стратегії грошової та ваучерної допомоги, яка включає розширення грошових програм у 2022 та 2025 роках,…"
8,https://www.work.ua/jobs/5775722/,"Аналітик, вакансія від 1 листопада 2024","
            Повна зайнятість.
                            Давай трохи про нас! Ми «Є-ГРОШІ», і ми стрімко розвиваємось з 2018 року, та не збавляємо обертів, а навпаки! Отримали вже декілька нагород від FinAwards! До речі з ними ти можеш ознайомитись на нашому сайті! Ми…"
9,https://www.work.ua/jobs/5928605/,"Фінансовий аналітик, вакансія від 1 листопада 2024","
            Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Вітаємо у WATSONS   Watsons Україна — це роздрібна мережа товарів для краси та здоров’я!  Чому Watsons?    Частина великої сім'ї A.S. Watson Group: найбільшої у світі мережі роздрібної торгівлі продукцією для краси…"
10,https://www.work.ua/jobs/5739508/,"Товарознавець, аналітик товарних запасів у ювелірній сфері, вакансія від 1 листопада 2024","
            Повна зайнятість. Досвід роботи від 1 року.
                            У зв’язку з розширенням та зростанням запрошуємо у свою команду людину з досвідом роботи на аналогічній посаді — Товарознавець / Аналітика товарних запасів (у ювелірній сфері).    Графік роботи: ПН-ПТ    Години…"
11,https://www.work.ua/jobs/5921747/,"Товарний аналітик, вакансія від 31 жовтня 2024","
            Повна зайнятість. Досвід роботи від 1 року.
                            Привіт, наш майбутній колего! Цікаві факти про нас:  Ми родом з України і вже представлені на ринку Європи, а саме в: Польщі, Чехії, Словаччині, Угорщині та Іспанії;  Мережа фірмових салонів 550+  Мережа сервісних…"
12,https://www.work.ua/jobs/5891456/,"Бізнес-аналітик, вакансія від 31 жовтня 2024","
            Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Вимоги : 1. Вища освіта в галузі економіки, фінансів чи суміжних спеціальностей. 2.Досвід роботи у сфері фінансового аналізу. 4.Знання фінансової звітності та методів фінансового аналізу. 4. Досвід роботи з фінансовими…"
